,perc,acc,per
0,0.005,0.6264312051232291,41.23051452636719
1,0.01,0.6268193285464778,41.266963958740234
2,0.015,0.6272074519697264,41.252288818359375
3,0.02,0.6287599456627208,41.28583908081055
4,0.025,0.6272074519697264,41.28740692138672
5,0.03,0.6279836988162235,41.3701057434082
6,0.035,0.6260430816999806,41.356021881103516
7,0.04,0.625654958276732,41.29789733886719
8,0.045,0.625654958276732,41.37501907348633
9,0.05,0.6272074519697264,41.38674545288086
10,0.055,0.6235202794488648,41.47121810913086
11,0.06,0.6237143411604891,41.490482330322266
12,0.065,0.625654958276732,41.58639907836914
13,0.07,0.6258490199883563,41.59363555908203
14,0.075,0.6229380943139918,41.5606575012207
15,0.08,0.6250727731418592,41.52598190307617
16,0.085,0.622355909179119,41.565948486328125
17,0.09,0.6215796623326217,41.51426315307617
18,0.095,0.6211915389093732,41.5872802734375
